Name,Typ,Adresse,Latitude,Longitude,Elevation,Entfernung_m
La Terrazza sul Borgo,restaurant,Adresse unbekannt,43.392728,10.750269,,253
Drinking_water,drinking_water,Adresse unbekannt,43.392308,10.745321,,13
Alimentari ortofrutta essedue,supermarket,Adresse unbekannt,43.392288,10.748751,,79
Il Buglione,restaurant,Adresse unbekannt,43.392709,10.749747,,199
Drinking_water,drinking_water,Adresse unbekannt,43.390693,10.738481,,332
Drinking_water,drinking_water,Adresse unbekannt,43.391264,10.739712,,293
Ristorante Pizzeria L’Ippocastano,restaurant,Adresse unbekannt,43.390853,10.738620,,336
Agriturismo Il Margone,restaurant,Adresse unbekannt,43.391990,10.739579,,371
Big Roof,restaurant,Adresse unbekannt,43.329188,10.668252,,215
Locanda del Sole,restaurant,"Via Francesca, 9, Querceto",43.294324,10.727226,,16
Drinking_water,drinking_water,Adresse unbekannt,43.294406,10.727542,,14
Drinking_water,drinking_water,Adresse unbekannt,43.198553,10.737773,,7
Drinking_water,drinking_water,Adresse unbekannt,43.200005,10.737350,,142
L'Osteria del Ghiotto,restaurant,Adresse unbekannt,43.198479,10.738010,,19
Ristorante Pratella,restaurant,Adresse unbekannt,43.123775,10.721547,,79
Drinking_water,drinking_water,Adresse unbekannt,43.077944,10.678726,,138
Drinking_water,drinking_water,Adresse unbekannt,43.076105,10.677448,,12
I' Ciocio,restaurant,Suvereto,43.079379,10.679070,,283
Locanda delle Stelle,restaurant,"Via Palestro, 2, 57028, Suvereto",43.078384,10.678750,,185
Drinking_water,drinking_water,Adresse unbekannt,43.079161,10.679290,,254
Enoteca dei Difficili,restaurant,Adresse unbekannt,43.078580,10.679054,,198
Bakery,bakery,Adresse unbekannt,43.078420,10.678570,,194
il Gallo Golosone,cafe,Adresse unbekannt,43.079068,10.678421,,267
Drinking_water,drinking_water,Adresse unbekannt,43.077838,10.676872,,204
Bar Trattoria La Sugheraia,cafe,Adresse unbekannt,43.076575,10.678567,,7
BOS Fuoco e Grano,restaurant,Adresse unbekannt,43.075005,10.679565,,200
ristobar dolcecaffè,cafe,Adresse unbekannt,43.026059,10.609184,,407
Cafe,cafe,Adresse unbekannt,43.032182,10.603759,,290
Drinking_water,drinking_water,Adresse unbekannt,43.032413,10.604567,,298
,viewpoint,N/A,43.060587,10.618349,276.000000,1980
,viewpoint,N/A,43.248730,10.734413,,1357
Poggio Rogheta,peak,N/A,43.260357,10.747534,513.000000,504
Il Poggetto,peak,N/A,43.251727,10.747104,512.000000,41
Monte Campiglia Vecchia,peak,N/A,43.064401,10.625416,349.000000,1511
Monte Pitti,peak,N/A,43.056516,10.646064,195.000000,572
Poggetto Masino,peak,N/A,43.083635,10.697378,115.000000,167
Poggio Cerro,peak,N/A,43.083708,10.687808,221.000000,746
Poggio Cerro,peak,N/A,43.090387,10.679450,284.000000,1485
Poggio Diavolino,peak,N/A,43.071663,10.652585,130.000000,751
Poggio ai Lecci,peak,N/A,43.078549,10.734746,112.000000,852
Poggio del Pino,peak,N/A,43.091315,10.683747,284.000000,1626
Monte di Canneto,peak,N/A,43.199442,10.752751,550.000000,695
Poggicciola,peak,N/A,43.202898,10.700196,471.000000,3836
Poggio Cornacchia,peak,N/A,43.179762,10.697655,442.000000,4124
Poggio Corno al Bufalo,peak,N/A,43.240787,10.787644,560.000000,1440
Poggio Testioni,peak,N/A,43.238888,10.771065,478.000000,183
Poggio ai Fornelli,peak,N/A,43.233277,10.776263,494.300000,113
Poggio dei Leccioni,peak,N/A,43.232786,10.806221,526.000000,2408
Poggio delle Mattonelle,peak,N/A,43.223594,10.778059,477.000000,105
Monte Massi,peak,N/A,43.394606,10.730489,617.000000,983
Poggio Acqua Bianca,peak,N/A,43.404329,10.680945,587.000000,3572
Poggio Castellacci,peak,N/A,43.408985,10.685224,647.000000,3792
Poggio alla Trave,peak,N/A,43.410669,10.680051,618.000000,4220
Poggio alle Palancole,peak,N/A,43.420012,10.708692,573.000000,4243
Poggio di Mela,peak,N/A,43.411863,10.687080,655.000000,4006
Poggio a Campera,peak,N/A,43.167786,10.725224,230.000000,794
Poggio alle Poste,peak,N/A,43.163577,10.745240,312.000000,1255
Poggio d'Oro,peak,N/A,43.155531,10.743205,210.000000,1519
Poggio di Buonaguida,peak,N/A,43.164130,10.722236,221.000000,948
Colle Sant'Agnese,peak,N/A,43.143771,10.737028,142.000000,563
Poggio Ricciardo,peak,N/A,43.188499,10.769546,451.000000,259
Poggio Grasceto,peak,N/A,43.108407,10.738355,222.000000,1226
Poggio Lupi,peak,N/A,43.195639,10.807165,392.000000,1703
Poggio Vacchereccia,peak,N/A,43.197313,10.798894,453.000000,858
Poggetto del Tesoro,peak,N/A,43.175622,10.784150,404.000000,2101
Poggio a Casale,peak,N/A,43.181605,10.778578,437.000000,1404
Poggio alle Grotte,peak,N/A,43.073501,10.630634,356.000000,1704
Poggio del Frassine,peak,N/A,43.070082,10.628012,356.000000,1631
Poggio Le Case,peak,N/A,43.370591,10.710239,253.000000,1007
Monte Calvi,peak,N/A,43.094381,10.624562,647.000000,4057
,viewpoint,N/A,43.222330,10.778844,,53
,viewpoint,N/A,43.247225,10.778523,,1339
,viewpoint,N/A,43.256698,10.766090,,1389
,viewpoint,N/A,43.245231,10.790188,,1942
Monte Aneo,peak,N/A,43.289384,10.745282,519.800000,417
Monte al Santo,peak,N/A,43.293629,10.762971,334.000000,1784
Poggio Bruciato,peak,N/A,43.270296,10.786226,381.000000,2771
Poggio Gabbra,peak,N/A,43.258055,10.778463,559.700000,2233
Poggio Montorsi,peak,N/A,43.261339,10.778856,518.800000,2224
Poggio a Rosini,peak,N/A,43.276577,10.766685,501.000000,824
Poggio al Muraglione,peak,N/A,43.276455,10.804021,518.000000,4778
Poggio al Quattrino,peak,N/A,43.280209,10.754289,466.600000,74
Poggio all'Abetina,peak,N/A,43.274447,10.760708,516.400000,177
Poggio alle Casacce,peak,N/A,43.285379,10.732436,300.100000,463
Poggio di Belvedere,peak,N/A,43.294635,10.736800,362.000000,376
Poggio di Periano,peak,N/A,43.262242,10.730722,362.000000,2084
Colle Monte Calvino,peak,N/A,43.081672,10.622838,395.600000,2951
Poggio I Crognoli,peak,N/A,43.289074,10.783214,406.000000,3081
,viewpoint,N/A,43.078774,10.680025,,195
Poggio la Croce,peak,N/A,43.396167,10.739947,590.000000,680
,viewpoint,N/A,43.232201,10.795009,,1641
Poggio alle Lastre,peak,N/A,43.074930,10.625747,354.000000,2178
,viewpoint,N/A,43.391727,10.750927,,312
,viewpoint,N/A,43.392995,10.746864,,148
